attribute,group,n,selection_rate,tpr,fpr,actual_rate
race,Caucasian,10451,0.13558511147258637,0.3113207547169811,0.11793197851953248,0.0912831308008803
race,AfricanAmerican,2554,0.11276429130775255,0.2683982683982684,0.09728798966853207,0.09044635865309318
race,Unknown,350,0.08,0.22727272727272727,0.0701219512195122,0.06285714285714286
race,Hispanic,308,0.09740259740259741,0.3333333333333333,0.07194244604316546,0.09740259740259741
race,Other,229,0.08733624454148471,0.45454545454545453,0.06880733944954129,0.048034934497816595
race,Asian,106,0.07547169811320754,0.3333333333333333,0.05154639175257732,0.08490566037735849
gender,Female,7475,0.13498327759197323,0.3057228915662651,0.11833798267508443,0.08882943143812709
gender,Male,6523,0.11988348919208953,0.30185497470489037,0.10168634064080945,0.09090909090909091
age_group,60-80,6632,0.146562123039807,0.31441717791411045,0.1282608695652174,0.09831121833534379
age_group,30-60,4449,0.05799055967633176,0.20679012345679013,0.046303030303030304,0.07282535401213756
age_group,80+,2570,0.21206225680933852,0.39846743295019155,0.1909917713295799,0.10155642023346304
age_group,0-30,347,0.04610951008645533,0.3,0.03058103975535168,0.05763688760806916
