,mean_abs_shap
discharge_disposition_id_1,0.2151360531123241
number_inpatient,0.11259959119231937
time_in_hospital,0.08371268301931253
age_ordinal,0.08265901518906439
num_lab_procedures,0.06631238555400823
num_medications,0.06197827132637284
diag_1_group_Circulatory,0.05961502544777848
discharge_disposition_id_22,0.04896302520682695
total_prior_visits,0.047012754473280106
discharge_disposition_id_6,0.038269427322560175
diag_1_group_Respiratory,0.03724669803665001
n_active_meds,0.03610065180184639
service_utilization,0.034133143949264984
number_diagnoses,0.02826459406275485
discharge_disposition_id_3,0.027677572693957025
diabetesMed_No,0.025440248074429253
diag_2_group_Diabetes,0.021022803476560437
num_procedures,0.020015862595834887
diag_2_group_Respiratory,0.019466521483431223
discharge_disposition_id_5,0.019146059981948828
medical_specialty_Cardiology,0.01797037661597109
metformin_No,0.017624375675648382
diag_1_group_Musculoskeletal,0.016663958141604675
n_meds_changed,0.01658280984569222
number_emergency,0.01559339754752742
medical_specialty_Emergency/Trauma,0.015233136010472992
medical_specialty_Orthopedics-Reconstructive,0.014731207270463963
diag_1_group_Other,0.014074684665109825
diag_3_group_Other,0.013926545669535013
A1Cresult_Not measured,0.013903096257726922
admission_source_id_4,0.013846310228002416
admission_source_id_1,0.013305402325409494
number_outpatient,0.013199127389462247
race_Caucasian,0.01260022158434344
diag_2_group_Neoplasms,0.01247627797385479
discharge_disposition_id_25,0.01214762345757332
diabetesMed_Yes,0.011909944068832978
admission_type_id_2,0.011225546454924625
glipizide_No,0.010989406273685316
insulin_Down,0.010869548144097792
metformin_Steady,0.010845293972432274
medical_specialty_InternalMedicine,0.010543662550230625
discharge_disposition_id_23,0.010499848910963458
diag_1_group_Diabetes,0.010402589592856224
admission_type_id_3,0.010215696522600164
A1Cresult_>8,0.010105054500847347
diag_3_group_Diabetes,0.009810089960534512
medical_specialty_Unknown,0.00920752262142186
discharge_disposition_id_2,0.008744918198309073
gender_Female,0.008152204286018755
A1Cresult_Norm,0.008143835707579199
admission_type_id_1,0.007839669201383516
insulin_Steady,0.007838283480470559
diag_3_group_Digestive,0.007535077377127157
diag_3_group_Circulatory,0.007411805533245982
diag_1_group_Genitourinary,0.006887574308478662
diag_2_group_Genitourinary,0.006713356517485427
medical_specialty_Family/GeneralPractice,0.0065331685857938126
gender_Male,0.006457642867937128
pioglitazone_Steady,0.006355322556238393
race_AfricanAmerican,0.0061282190709387304
diag_2_group_Other,0.005536994437174218
admission_source_id_7,0.005471286528021679
diag_3_group_Respiratory,0.005413293937232619
diag_2_group_Circulatory,0.004955503997290799
pioglitazone_No,0.00479226265877245
admission_type_id_5,0.004655249693437863
insulin_No,0.004620548849292229
A1Cresult_>7,0.004619824748287533
glyburide_No,0.004574981371886989
change_No,0.004201581308300983
admission_source_id_17,0.004133850569786133
glyburide_Steady,0.00402547490054142
diag_1_group_Digestive,0.003890471857844136
admission_source_id_5,0.0038322403413761307
medical_specialty_Nephrology,0.0037853347961673382
diag_1_group_Injury,0.0037734037653310774
insulin_Up,0.003655477387240495
diag_3_group_Genitourinary,0.003572416138165656
admission_source_id_2,0.003534221035410916
medical_specialty_Radiologist,0.003385212215630211
metformin_Up,0.003336115626145357
max_glu_serum_Not measured,0.003124511061193195
change_Ch,0.0031157755058093916
glipizide_Steady,0.003112167249757393
race_Unknown,0.0030275975843648793
medical_specialty_ObstetricsandGynecology,0.003007340212077508
admission_type_id_6,0.002845231355069977
diag_3_group_Musculoskeletal,0.002801439045635347
medical_specialty_Surgery-General,0.0027362852343084973
race_Hispanic,0.0027354240649442286
medical_specialty_Surgery-Neuro,0.0027212447021175115
rosiglitazone_Steady,0.0026195125762755933
medical_specialty_Otolaryngology,0.0025816262285421688
medical_specialty_Pediatrics-Endocrinology,0.002568993756103628
glimepiride_Steady,0.0025403947358227813
rosiglitazone_No,0.0025232717881247257
diag_2_group_Injury,0.002510558046709715
discharge_disposition_id_28,0.00248158775701411
discharge_disposition_id_15,0.002411495852882405
admission_source_id_6,0.0023337611746968145
diag_2_group_Digestive,0.0022485940989054164
medical_specialty_Psychiatry,0.002102300392305232
medical_specialty_Hematology/Oncology,0.002073664436026415
diag_2_group_Musculoskeletal,0.00204034843010854
race_Other,0.0019612304978349534
glimepiride_No,0.0017722315735179263
medical_specialty_Gynecology,0.0017315570055512616
diag_1_group_Neoplasms,0.001571014941652038
medical_specialty_Surgery-Cardiovascular/Thoracic,0.0015208662435484065
diag_3_group_Missing,0.0014908496636448826
diag_3_group_Injury,0.0014433146730916874
glyburide_Up,0.00141615425544438
medical_specialty_Oncology,0.0012599154597598386
glyburide_Down,0.0012414063800887409
diag_3_group_Neoplasms,0.001232422583908156
repaglinide_No,0.001206362254418935
discharge_disposition_id_18,0.0011863217385507422
admission_source_id_3,0.001123397078062757
discharge_disposition_id_7,0.0010174057359654762
medical_specialty_Gastroenterology,0.0009570632203374905
max_glu_serum_>200,0.000952330972674941
medical_specialty_Orthopedics,0.0009037911410398158
discharge_disposition_id_4,0.0009015308314358471
medical_specialty_Surgery-Vascular,0.000876991163394132
max_glu_serum_Norm,0.0008751515886715087
metformin_Down,0.0007634325457112512
admission_type_id_8,0.0007515645653086214
repaglinide_Up,0.0007095624350853684
max_glu_serum_>300,0.0006457625675106466
glipizide_Up,0.000630699736040244
glipizide_Down,0.000623424796472688
repaglinide_Steady,0.0005158425227853681
medical_specialty_Pulmonology,0.00049735594461848
medical_specialty_Endocrinology,0.0004973100342160184
medical_specialty_Ophthalmology,0.0004891561245034039
admission_type_id_7,0.00045704325084097556
race_Asian,0.00043694019875789645
medical_specialty_Urology,0.0003914656697463224
glimepiride_Up,0.0003876865693337777
medical_specialty_Hospitalist,0.00038483181542975706
medical_specialty_Pediatrics-CriticalCare,0.00034843848641272267
glimepiride_Down,0.0003225887432361129
pioglitazone_Down,0.00028933854993321993
admission_source_id_9,0.00028563559479098156
repaglinide_Down,0.00023550387317097896
discharge_disposition_id_8,0.00020563761061652544
pioglitazone_Up,0.00018711763335969422
medical_specialty_Surgery-Maxillofacial,0.00017827162992078678
medical_specialty_SurgicalSpecialty,0.00015092029351749216
medical_specialty_Psychology,0.00014533598158069513
admission_source_id_20,0.00014504657249151992
diag_2_group_Missing,0.0001442765751989729
medical_specialty_Surgeon,0.00011292081633974771
discharge_disposition_id_12,0.00010627238782135014
medical_specialty_Anesthesiology,9.31090136952306e-05
medical_specialty_Psychiatry-Child/Adolescent,6.102175113149605e-05
medical_specialty_Anesthesiology-Pediatric,5.4258290745501704e-05
rosiglitazone_Down,5.239065418038401e-05
medical_specialty_Pediatrics,4.838794984923104e-05
rosiglitazone_Up,4.221900534978784e-05
discharge_disposition_id_17,3.798865779665509e-05
medical_specialty_Pathology,3.0328184521161153e-05
medical_specialty_Hematology,2.8895038226562043e-05
medical_specialty_Podiatry,2.4800336686354862e-05
medical_specialty_Obsterics&Gynecology-GynecologicOnco,2.051482076106357e-05
medical_specialty_PhysicianNotFound,1.2660993801978715e-05
admission_type_id_4,1.0851535544611423e-05
medical_specialty_Surgery-Plastic,1.046828326297971e-05
admission_source_id_10,7.636385161372927e-06
diag_1_group_Missing,5.7704454352193794e-06
medical_specialty_Surgery-Colon&Rectal,4.8053939682520456e-06
admission_source_id_8,4.188413761695517e-06
discharge_disposition_id_10,3.8068822638786748e-06
discharge_disposition_id_27,9.47416235013716e-07
admission_source_id_14,2.0371680498935595e-07
medical_specialty_InfectiousDiseases,0.0
admission_source_id_22,0.0
medical_specialty_Dermatology,0.0
medical_specialty_AllergyandImmunology,0.0
medical_specialty_Neurology,0.0
admission_source_id_25,0.0
medical_specialty_Endocrinology-Metabolism,0.0
medical_specialty_Cardiology-Pediatric,0.0
medical_specialty_DCPTEAM,0.0
medical_specialty_Dentistry,0.0
medical_specialty_Surgery-PlasticwithinHeadandNeck,0.0
medical_specialty_Pediatrics-EmergencyMedicine,0.0
medical_specialty_Neurophysiology,0.0
discharge_disposition_id_16,0.0
medical_specialty_Surgery-Pediatric,0.0
medical_specialty_Surgery-Cardiovascular,0.0
admission_source_id_13,0.0
admission_source_id_11,0.0
medical_specialty_Speech,0.0
discharge_disposition_id_9,0.0
medical_specialty_Rheumatology,0.0
medical_specialty_Resident,0.0
medical_specialty_Radiology,0.0
medical_specialty_Psychiatry-Addictive,0.0
medical_specialty_PhysicalMedicineandRehabilitation,0.0
medical_specialty_Perinatology,0.0
medical_specialty_Pediatrics-Pulmonology,0.0
medical_specialty_Pediatrics-Hematology-Oncology,0.0
medical_specialty_Surgery-Thoracic,0.0
medical_specialty_OutreachServices,0.0
medical_specialty_Osteopath,0.0
discharge_disposition_id_24,0.0
medical_specialty_Obstetrics,0.0
medical_specialty_Pediatrics-Neurology,0.0
